Origin,colYear,colMonth,prom_arribades
CID,2007,2,33.0000
CID,2007,7,-4.0000
CLE,1988,9,0.0000
CLE,1989,5,14.0000
CLE,1989,7,1.0000
CLE,1989,8,-5.0000
CLE,1990,1,17.0000
CLE,1990,3,-0.5000
CLE,1990,4,0.0000
CLE,1990,8,3.0000
CLE,1990,12,12.0000
CLE,1991,4,0.0000
CLE,1991,6,-1.5000
CLE,1992,9,0.0000
CLE,1993,8,0.0000
CLE,1994,8,0.0000
CLE,1995,5,13.6667
CLE,1995,10,-2.0000
CLE,1995,12,18.0000
CLE,1996,2,0.0000
CLE,1996,4,-4.0000
CLE,1997,1,0.0000
CLE,1997,2,-4.0000
CLE,1997,3,-1.0000
CLE,1997,4,0.0000
CLE,1997,8,61.0000
CLE,1997,9,-2.0000
CLE,1998,2,-5.0000
CLE,1998,3,-1.0000
CLE,1998,11,139.0000
CLE,1999,1,-7.0000
CLE,1999,9,-2.0000
CLE,2000,4,-5.0000
CLE,2000,6,-3.0000
CLE,2000,10,13.5000
CLE,2002,4,-3.0000
CLE,2002,5,-4.0000
CLE,2002,8,-3.0000
CLE,2003,4,2.0000
CLE,2003,5,-5.0000
CLE,2003,8,-2.0000
CLE,2003,12,10.0000
CLE,2004,1,-4.0000
CLE,2004,7,-1.0000
CLE,2004,8,-4.0000
CLE,2004,9,-4.0000
CLE,2005,3,20.0000
CLE,2006,1,-8.0000
CLE,2006,7,-7.0000
CLE,2006,8,17.0000
CLE,2007,1,-7.0000
CLE,2007,4,53.0000
CLE,2007,9,-3.0000
CLE,2008,4,-1.0000
CLE,2008,6,-2.0000
CLL,2006,1,-5.0000
CLT,1987,11,16.0000
CLT,1988,1,0.0000
CLT,1988,3,-2.0000
CLT,1988,4,2.0000
CLT,1988,5,6.0000
CLT,1988,6,22.0000
CLT,1988,7,0.0000
CLT,1988,8,1.0000
CLT,1989,1,8.0000
CLT,1989,3,0.0000
CLT,1989,4,-2.0000
CLT,1990,2,28.0000
CLT,1990,6,10.0000
CLT,1990,7,0.0000
CLT,1990,8,0.0000
CLT,1990,11,1.0000
CLT,1991,5,2.0000
CLT,1991,8,28.0000
CLT,1991,9,5.0000
CLT,1991,11,-1.0000
CLT,1991,12,13.0000
CLT,1992,3,4.0000
CLT,1992,4,1.0000
CLT,1992,5,-2.0000
CLT,1992,7,4.0000
CLT,1992,9,7.0000
CLT,1992,10,0.0000
CLT,1992,11,4.0000
CLT,1993,1,5.0000
CLT,1993,2,18.0000
CLT,1993,3,32.0000
CLT,1993,6,25.0000
CLT,1993,8,15.0000
CLT,1993,9,24.0000
CLT,1993,10,57.0000
CLT,1993,11,12.0000
CLT,1994,6,10.0000
CLT,1994,7,58.0000
CLT,1994,10,19.0000
CLT,1995,4,-1.5000
CLT,1995,10,15.5000
CLT,1995,11,4.0000
CLT,1995,12,17.0000
CLT,1996,3,21.0000
CLT,1996,4,5.0000
CLT,1996,5,48.0000
CLT,1996,7,13.0000
CLT,1997,9,-0.5000
CLT,1997,10,6.0000
CLT,1998,1,40.0000
CLT,1998,3,-1.0000
CLT,1998,5,4.0000
CLT,1998,12,15.0000
CLT,1999,7,60.0000
CLT,2000,6,-1.0000
CLT,2000,12,-3.0000
CLT,2001,6,187.0000
CLT,2002,3,32.0000
CLT,2002,10,-6.0000
CLT,2002,12,18.0000
CLT,2003,1,0.0000
CLT,2003,4,-3.0000
CLT,2003,5,15.0000
CLT,2003,6,3.0000
CLT,2003,10,-6.0000
CLT,2004,1,0.0000
CLT,2004,3,-1.0000
CLT,2004,4,-7.0000
CLT,2004,5,-1.0000
CLT,2004,6,-3.0000
CLT,2004,7,18.0000
CLT,2004,9,-1.5000
CLT,2004,11,0.0000
CLT,2005,2,-7.0000
CLT,2005,4,4.0000
CLT,2005,12,-3.0000
CLT,2006,3,-8.0000
CLT,2006,4,2.0000
CLT,2006,12,0.0000
CLT,2007,2,0.5000
CLT,2007,5,29.5000
CLT,2007,6,-3.0000
CLT,2008,3,10.0000
CLT,2008,6,95.0000
CLT,2008,10,1.0000
CLT,2008,12,-7.0000
CMH,1988,1,-2.0000
CMH,1988,11,-1.0000
CMH,1991,7,4.0000
CMH,1992,3,1.0000
CMH,1992,9,-3.0000
CMH,1993,1,-1.0000
CMH,1993,6,0.0000
CMH,1993,12,14.5000
CMH,1994,3,-3.0000
CMH,1994,8,115.0000
CMH,1995,1,0.0000
CMH,1997,3,-2.0000
CMH,1997,12,0.0000
CMH,1998,5,19.0000
CMH,2001,10,-10.0000
CMH,2002,3,52.0000
CMH,2003,1,9.0000
CMH,2003,3,0.0000
CMH,2004,1,-8.0000
CMH,2004,3,132.0000
CMH,2004,5,39.0000
CMH,2004,12,-1.5000
CMH,2006,12,-5.0000
CMH,2008,2,-3.0000
CMH,2008,4,9.0000
CMH,2008,7,10.0000
CMI,1992,4,5.0000
CMI,2006,2,-8.0000
COS,1988,11,-1.0000
COS,1989,6,85.0000
COS,1990,5,-2.0000
COS,1991,7,-1.0000
COS,1992,11,-3.0000
COS,1995,4,1.0000
COS,1996,9,56.0000
COS,1998,3,-2.0000
COS,1999,7,124.0000
COS,2006,9,-7.0000
COS,2008,2,-6.0000
COS,2008,3,-2.0000
CRP,1990,9,-1.0000
CRP,1992,1,5.0000
CRP,2002,11,-4.0000
CRP,2003,10,-10.0000
CRP,2005,9,0.0000
CRP,2005,12,-4.0000
CRW,1989,8,5.0000
CRW,1990,2,-1.0000
CRW,1995,11,1.0000
CRW,2006,12,66.0000
CSG,2005,4,0.0000
CVG,1987,10,0.0000
CVG,1988,1,0.0000
CVG,1988,10,-1.0000
CVG,1989,5,0.0000
CVG,1989,9,0.0000
CVG,1990,12,27.0000
CVG,1992,3,6.0000
CVG,1992,6,10.0000
CVG,1992,7,0.0000
CVG,1992,9,3.0000
CVG,1992,10,2.0000
CVG,1993,8,0.0000
CVG,1993,9,-1.0000
CVG,1993,12,0.0000
CVG,1994,4,19.0000
CVG,1995,5,0.0000
CVG,1995,6,24.0000
CVG,1996,7,150.0000
CVG,1996,9,0.0000
CVG,1996,10,7.0000
CVG,1996,11,0.0000
CVG,1996,12,10.0000
CVG,1997,2,0.0000
CVG,1997,11,-2.0000
CVG,1997,12,0.0000
CVG,1998,4,-3.0000
CVG,1998,7,-4.0000
CVG,1999,3,-2.5000
CVG,1999,6,-9.0000
CVG,1999,10,67.0000
CVG,1999,12,2.0000
CVG,2000,2,4.0000
CVG,2000,4,15.0000
CVG,2000,5,-6.0000
CVG,2000,8,2.0000
CVG,2000,11,2.0000
CVG,2001,1,-2.0000
CVG,2001,11,-3.0000
CVG,2001,12,-4.0000
CVG,2002,3,5.0000
CVG,2002,8,-1.0000
CVG,2002,12,-2.0000
CVG,2003,5,0.0000
CVG,2003,8,-16.0000
CVG,2004,2,72.0000
CVG,2004,3,-1.0000
CVG,2004,4,-1.0000
CVG,2004,6,6.0000
CVG,2004,7,0.0000
CVG,2004,8,3.0000
CVG,2004,9,3.0000
CVG,2004,10,10.0000
CVG,2004,12,1.0000
CVG,2005,1,0.5000
CVG,2005,2,-2.5000
CVG,2005,4,-1.0000
CVG,2005,5,0.0000
CVG,2005,6,0.0000
CVG,2005,7,5.0000
CVG,2005,8,-2.0000
CVG,2006,5,-10.0000
CVG,2006,6,10.0000
CVG,2006,10,13.0000
CVG,2006,11,5.0000
CVG,2007,2,82.0000
CVG,2007,5,-2.0000
CVG,2007,7,25.0000
CVG,2007,10,-9.0000
CVG,2007,12,6.0000
CVG,2008,2,-5.0000
CVG,2008,6,0.0000
CVG,2008,7,-7.0000
CVG,2008,8,-7.0000
DAB,2005,9,20.0000
DAL,1988,2,3.0000
DAL,1988,6,7.0000
DAL,1988,8,23.0000
DAL,1989,3,0.0000
DAL,1989,6,6.0000
DAL,1989,9,10.0000
DAL,1990,3,0.0000
DAL,1990,8,0.0000
DAL,1990,9,11.0000
DAL,1991,2,0.0000
DAL,1991,3,0.0000
DAL,1991,4,0.0000
DAL,1991,7,7.0000
DAL,1992,3,16.0000
DAL,1992,11,0.0000
DAL,1994,2,0.0000
DAL,1994,7,15.0000
DAL,1995,1,5.0000
DAL,1995,5,35.0000
DAL,1995,6,7.0000
DAL,1995,9,0.0000
DAL,1997,5,0.0000
DAL,1997,12,0.0000
DAL,1998,5,0.0000
DAL,1998,10,13.0000
DAL,1998,12,0.0000
DAL,1999,5,0.0000
DAL,1999,8,23.0000
DAL,1999,12,0.0000
DAL,2000,4,14.0000
DAL,2002,9,0.0000
DAL,2003,5,42.0000
DAL,2003,10,0.0000
DAL,2003,11,0.0000
DAL,2004,4,11.0000
DAL,2004,7,0.0000
DAL,2004,9,10.0000
DAL,2006,6,36.0000
DAL,2006,9,-2.0000
DAL,2008,5,54.0000
DAL,2008,9,1.0000
DAY,1988,1,276.0000
DAY,1988,2,10.0000
DAY,1988,8,0.0000
DAY,1988,10,16.0000
DAY,1990,3,2.0000
DAY,1990,4,-1.0000
DAY,1990,9,8.0000
DAY,1991,4,-1.0000
DAY,1994,8,10.0000
DAY,2003,9,-5.0000
DCA,1987,10,17.0000
DCA,1988,3,2.0000
DCA,1988,4,0.0000
DCA,1988,7,0.0000
DCA,1989,1,4.0000
DCA,1989,3,-1.0000
DCA,1989,10,7.0000
DCA,1989,12,0.0000
DCA,1990,1,-1.0000
DCA,1990,7,1.0000
DCA,1991,3,6.5000
DCA,1991,4,-3.0000
DCA,1991,7,6.0000
DCA,1991,9,11.0000
DCA,1991,11,0.0000
DCA,1991,12,0.0000
DCA,1992,2,-2.0000
DCA,1992,7,-2.0000
DCA,1992,8,8.0000
DCA,1993,2,7.0000
DCA,1993,3,0.0000
DCA,1994,2,-3.0000
DCA,1994,4,-2.0000
DCA,1994,9,0.0000
DCA,1994,12,-2.0000
DCA,1995,6,2.0000
DCA,1995,8,5.0000
DCA,1995,9,1.0000
DCA,1995,10,16.0000
DCA,1996,1,0.0000
DCA,1996,2,0.0000
DCA,1996,3,-2.0000
DCA,1996,4,-2.0000
DCA,1996,10,23.0000
DCA,1998,1,1.0000
DCA,1998,4,0.0000
DCA,1998,7,-4.0000
DCA,1998,8,-8.0000
DCA,1999,10,0.0000
DCA,2000,7,57.0000
DCA,2000,10,1.0000
DCA,2002,4,-3.0000
DCA,2002,12,-4.0000
DCA,2003,7,-2.5000
DCA,2003,12,11.0000
DCA,2004,5,-3.0000
DCA,2004,11,-4.0000
DCA,2005,3,-2.0000
DCA,2005,6,-10.0000
DCA,2006,4,-9.0000
DCA,2007,5,-5.0000
DCA,2007,8,0.0000
DCA,2007,10,-3.0000
DCA,2007,11,-7.6667
DCA,2008,1,-9.0000
DCA,2008,6,90.0000
DCA,2008,8,-4.0000
DCA,2008,9,15.5000
DEN,1987,10,0.0000
